IPO_Name,Issue_Size(crores),QIB,HNI,RII,Total,Offer Price,List Price,Listing Gain,CMP(BSE),CMP(NSE),Current Gains,Listing_Year,Listing_Month
Afcons Infrastructure Limited,1.5221170791700285,-0.6894793477364195,-0.5086704775607831,-0.45333784697604623,-0.6491121626654685,0.3102004495494249,-0.0007962596322479154,-0.7884775206822016,-0.20733558362072618,-0.2135875520056673,-0.3559154655961035,2024,11
Godavari Biorefineries Limited,-0.3245101860252786,-0.7057799688879539,-0.5390803677455398,-0.4300563781781801,-0.6640145720736141,-0.03134584428133113,-0.2878517963933582,-0.934575745435276,-0.3215637240803255,-0.325236998650914,-0.3962547431395252,2024,10
Deepak Builders & Engineers India Limited,-0.43613923506393487,-0.5293217884611502,0.05863884728352315,0.7213180787344684,0.07570377492321052,-0.4898178963604541,-0.5570114022015791,-0.63485492383884,-0.4472146785858848,-0.45337926678057533,-0.45626231088098235,2024,10
Waaree Energies Limited,1.102221254113896,2.552286901467746,-0.08776828666622158,-0.15551646040594147,0.7239585841775419,3.5102738331889407,5.091617005277507,1.6186945172021452,2.068204857955249,2.0550033549871087,0.10625078878283115,2024,10
Hyundai Motor India Limited,10.017606255235359,-0.6391531581617796,-0.5412786730601007,-0.4666415434319697,-0.6539554457231159,4.916459925807459,3.604693346238785,-0.6116547765604549,1.2931503701339024,1.2790459104492875,-0.2676781166292308,2024,10
Garuda Construction and Engineering Limited,-0.4346014048610339,-0.7298352544708006,-0.47950629372094405,-0.1549117469306722,-0.5574623448053734,-0.8221332092768654,-0.7859351900955859,-0.29469060225711086,-0.4147672647741726,-0.42220684063156866,-0.011604691305789042,2024,10
Diffusion Engineers Limited,-0.4748046801654449,0.7657071715680279,0.9755519939868044,2.106716650576316,1.4346172328284825,-0.5975126736944762,-0.5822338552224298,-0.19217103252694917,-0.2781073662967823,-0.28516407897994667,0.06506307519165103,2024,10
KRN Heat Exchanger and Refrigeration Limited,-0.4051137001083638,3.2551127124771044,2.6171731260569406,2.4901049938970194,3.2961144480234634,-0.43750900451250047,0.09516916876613159,2.9975357027472556,0.19763628391448387,0.19103302326709534,0.8899743052621959,2024,10
Manba Finance Limited,-0.4775015646592023,1.6014700871141712,3.2033145997626504,3.8706658579367126,3.4755022012740153,-0.7452083683239924,-0.6735151137740799,0.21853427740122147,-0.4419585286444468,-0.44831219511970083,-0.26212471704390317,2024,9
Arkade Developers Limited,-0.3793379992937306,1.8326856939335074,0.6488838242430798,1.0720518943906323,1.291926662745489,-0.720592419219073,-0.6112997296559816,0.6079205330735787,-0.39887465392761956,-0.40592100736859504,-0.13312387250972957,2024,9
