IPO,IPO_Size,Subscription,GMP,IPO Price,Estimated Price,Estimated Percentage,Listing Price,Listing Percentage,LT Price,LT Percentage,Risk_Category,Listing_Year,Listing_Month,Risk_Category_Encoded
"Ami Organics IPO (AMIORG,543349)",-0.362501682,0.300951201,0.268178968,0.422848458,0.429885408,0.036572739,0.707176025,0.632648083,0.611651786,0.098795635,Low,2021,9,0
"Vijaya Diagnostic IPO (VIJAYA,543350)",0.145695334,-0.71017246,-0.636816796,0.206090111,-0.086807401,-0.86687324,-0.05204092,-0.600507536,-0.131950882,-0.404113639,Medium,2021,9,1
"Aptus Value Housing IPO (APTUS,543335)",0.485513867,-0.496825367,-0.647786442,-0.282302115,-0.467974227,-0.917193427,-0.476792021,-0.791621989,-0.613366952,-0.65907417,High,2021,8,2
"Chemplast Sanmar IPO (CHEMPLASTS,543336)",0.89602466,-0.750111844,-0.66424091,0.233527876,-0.076219434,-0.896337034,-0.031521543,-0.601286535,-0.373399557,-0.645050595,High,2021,8,2
"Nuvoco Vistas Corporation IPO (NUVOCO,543334)",1.33722785,-0.757863792,-0.647786442,0.313097396,-0.008456442,-0.874487479,-0.164897493,-1.03155372,-0.496345815,-0.784689599,High,2021,8,2
"CarTrade Tech IPO (CARTRADE,543333)",0.569150645,-0.444752499,0.185906626,3.18857522,2.532655732,-0.518273527,2.120961092,-0.673473788,0.214668688,-0.870099139,High,2021,8,2
"Devyani International IPO (DEVYANI,543330)",0.124110906,1.179954704,-0.258364022,-1.003915347,-0.874552175,1.365753981,-0.870764057,0.824281869,-0.762976254,0.252010653,Low,2021,8,0
"Krsnaa Diagnostics IPO (KRSNAA,543328)",-0.115546829,0.298254871,0.635662097,1.366707591,1.300216328,-0.034272786,0.902110105,-0.504171311,-0.099362718,-0.765220699,High,2021,8,2
"Windlas Biotech IPO (WINDLAS,543329)",-0.426994079,-0.408520568,-0.143182743,0.011281976,-0.046573125,-0.228932455,-0.263390502,-0.774224341,-0.400062601,-0.566205282,High,2021,8,2
"Exxaro Tiles IPO (EXXARO ,543327)",-0.519243911,-0.404981635,-0.554544454,-0.921602051,-0.925374419,-0.666585656,-0.901543123,-0.514557966,-0.862222029,-0.543528862,High,2021,8,2
